Código EOL UE,Nome UE,Código EOL DRE,Nome da DRE UE,Sigla DRE,Nome da associação,CNPJ da associação,RF Presidente Diretoria,Nome Presidente Diretoria,RF Presidente Conselho Fiscal,Nome Presidente Conselho Fisca
010413,"EMEF QUIRINO CARNEIRO RENNO, PROF.",108500,GUAIANASES,G,EMEF QUIRINO CARNEIRO RENNÓ,1183123000178,,,,
010421,"EMEF CYRO ALBUQUERQUE, DEP.",108200,CAMPO LIMPO,CL,"EMEF - CYRO ALBUQUERQUE, DEP.",67842112000160,,,,
010839,"EMEI CLARICE BENVINDA SANTOS SILVA, PROFA",108200,CAMPO LIMPO,CL,EMEI - VILA REMO,67830315000137,,,,
010910,EMEI RUBENS NASCIMENTO DA SILVA - MEXICANO,108200,CAMPO LIMPO,CL,EMEI - RUBENS NASCIMENTO DA SILVA - MEXICANO,67830117000173,,,,
011045,EMEI EDER SADER,109200,SAO MATEUS,SM,EMEI EDER SADER ,73216574000175,,,,
011380,"EMEI ANTONIO ROBERTO ALVES BRAGA, DR.",109300,SAO MIGUEL,MP,EMEI DR. ANTONIO ROBERTO ALVES BRAGA,73934655000100,,,,
011533,"EMEF FRANCISCO DA SILVEIRA BUENO, PROF.",108600,IPIRANGA,IP,EMEF PROFESSOR FRANCISCO DA SILVEIRA BUENO,73374092000143,,,,
011541,"EMEI YOLANDA BASSI, PROFA.",109300,SAO MIGUEL,MP,EMEI PROFESSORA YOLANDA BASSI,1200148000132,,,,
011550,EMEI PAULO ZINGG,108200,CAMPO LIMPO,CL,EMEI - PAULO ZINGG,69096378000137,,,,
011568,EMEI JOSE ROSCHEL CHRISTI - JUCA ROCHA,108300,CAPELA DO SOCORRO,CS,EMEI JOSÉ ROSCHEL CHRISTI - JUCA ROCHA,1146508000165,,,,
011851,EMEF ANALIA FRANCO BASTOS,108900,PENHA,PE,EMEF ANÁLIA FRANCO BASTOS,73789216000151,,,,
011886,"EMEI MARIO BENI, DEP.",108500,GUAIANASES,G,"EMEI MARIO BENI, DEP.",1183126000101,,,,
011924,"EMEF MARIA ALICE BORGES GHION, PROFA.",108100,BUTANTA,BT,EMEF PROFª Mª ALICE BORGES GHION,71929244000100,,,,
012157,EMEF ELIAS SHAMMASS,108500,GUAIANASES,G,EMEF ELIAS SHAMMASS,777947000103,,,,
012246,"EMEI FAUSTO RIBEIRO DA SILVA FILHO, DR.",109300,SAO MIGUEL,MP,EMEI DR. FAUSTO RIBEIRO DA SILVA FILHO,73791014000144,,,,
012688,EMEF ULYSSES DA SYLVEIRA GUIMARAES,108300,CAPELA DO SOCORRO,CS,EMEF ULYSSES DA SYLVEIRA GUIMARÃES,1172230000109,,,,
012874,EMEF BENEDITO DE JESUS BATISTA LAURINDO - PE BATISTA,109200,SAO MATEUS,SM,EMEF PADRE  BENEDITO DE JESUS BATISTA LAURINDO,722148000130,,,,
012939,EMEF JOSE OLYMPIO PEREIRA FILHO,108200,CAMPO LIMPO,CL,EMEF - JOSE OLYMPIO PEREIRA FILHO,67833228000133,,,,
013111,EMEI CAIO GRACO DA SILVA PRADO,108400,FREGUESIA/BRASILANDIA,FO,CAIO GRACCO DA SILVA PRADO,96292685000166,,,,
013218,EMEI SEVERINO DO RAMO,109300,SAO MIGUEL,MP,EMEI SEVERINO DO RAMO,73862740000100,,,,
013226,"CEU EMEI CARLOS OLIVALDO DE SOUZA LOPES MUNIZ, DR.",109300,SAO MIGUEL,MP,EMEI DR CARLOS OLIVALDO S LOPES MUNIZ,348630000151,,,,
013315,"EMEI MARIA LUCIA PETIT DA SILVA, PROFA.",108400,FREGUESIA/BRASILANDIA,FO,EMEI MARIA LUCIA PETIT DA SILVA,71588305000104,,,,
013358,"EMEI JANIO QUADROS, PRES.",108800,JACANA/TREMEMBE,JT,EMEI PRESIDENTE JANIO QUADROS,1356705000109,,,,
013447,"EMEI HENRIQUE RICCHETTI, PROF.",109200,SAO MATEUS,SM,EMEI PROF. HENRIQUE RICCHETTI,73739096000188,,,,
013471,EMEI MARINA NOGUEIRA DE SOUZA MARTINS,108800,JACANA/TREMEMBE,JT,EMEI MARINA NOGUEIRA DE SOUZA MARTINS,163096000109,,,,
013498,"EMEI JOSE ROBERTO DE CASTRO RIBEIRO, PROF.",108500,GUAIANASES,G,"EMEI JOSE ROBERTO DE CASTRO RIBEIRO, PROF",73350076000110,,,,
013501,"EMEI DULCE SALLES FERRAZ, PROFA.",108500,GUAIANASES,G,EMEI PROFª DULCE SALLES FERRAZ,743529000103,,,,
013510,"EMEF OLINDA MENEZES SERRA VIDAL, PROFA.",108500,GUAIANASES,G,"EMEF OLINDA DE MENEZES SERRA VIDAL, PROFª",1183127000156,,,,
013528,"EMEF ANNA LAMBERGA ZEGLIO, VER.",108500,GUAIANASES,G,"EMEF ANNA LAMBERGA ZEGLIO, VER",1238073000189,,,,
013692,"EMEI DORACIL DINA BENICIO, PROFA.",109300,SAO MIGUEL,MP,EMEI PROFª DORACIL DINÁ BENÍCIO,97479950000182,,,,
013803,EMEF JULIO DE GRAMMONT,109200,SAO MATEUS,SM,EMEF JULIO DE GRAMMONT ,74146226000131,,,,
014117,EMEI AYRTON SENNA DA SILVA,109100,SANTO AMARO,SA,EMEI AYRTON SENNA DA SILVA,123607000169,,,,
014125,EMEI VIRGILIO TAVORA,109100,SANTO AMARO,SA,EMEI VIRGILIO TAVORA,96535216000120,,,,
014176,"EMEI SALOMAO JORGE, DEP.",108200,CAMPO LIMPO,CL,"EMEI - SALOMAO JORGE, DEP.",499857000106,,,,
014249,"EMEF ERNESTO DE MORAES LEME, PROF.",109000,PIRITUBA,PJ,EMEF ERNESTO DE MORAES LEME,304000159,,,,
014567,"EMEI TITO LIVIO FERREIRA, PROF.",108400,FREGUESIA/BRASILANDIA,FO,"EMEI TITO LIVIO FERREIRA, PROF.",49000144,,,,
014575,EMEI CIDADE DO SOL,108600,IPIRANGA,IP,EMEI CIDADE DO SOL,1145345000104,,,,
014583,"EMEF FLAVIO AUGUSTO ROSA, PROF.",109300,SAO MIGUEL,MP,EMEF PROF. FLÁVIO AUGUSTO ROSA,1212664000187,,,,
014591,"EMEI BENEDICTO CASTRUCCI, PROF.",108100,BUTANTA,BT,EMEI PROF. BENEDICTO CASTRUCCI,181000000135,,,,
014672,"EMEI EDUARDO KNEESE DE MELLO, PROF.",108500,GUAIANASES,G,"EMEI EDUARDO KNESSE DE MELLO, PROF",1148803000150,,,,
014681,"EMEI ELISIARIO RODRIGUES DE SOUSA, PROF.",108500,GUAIANASES,G,"EMEI ELISIARIO RODRIGUES DE SOUSA, PROF",2604709000121,,,,
014699,"EMEF ANTONIO DAVILA, PROF.",108500,GUAIANASES,G,"EMEF ANTONIO D'ÁVILA, PROF.",1221039000100,,,,
014893,"EMEI MARIA DAILCE MONTEIRO DA SILVA GOMES, PROFA.",109000,PIRITUBA,PJ,"EMEI Mª DAILCE M.DA S. GOMES, PROFª",904686000145,,,,
015024,"EMEF CAIO SERGIO POMPEU DE TOLEDO, DEP.",108500,GUAIANASES,G,"EMEF CAIO SÉRGIO POMPEU DE TOLEDO, DEP.",1162835000100,,,,
015121,"EMEF JOSE CARLOS DE FIGUEIREDO FERRAZ, PREF.",108900,PENHA,PE,EMEF PREFEITO JOSE CARLOS DE FIGUEIREDO FERRAZ,912744000182,,,,
015130,"EMEF JULIO CESAR DE MELO E SOUSA-MALBA TAHAN, PROF",108700,ITAQUERA,IQ,EMEF PROF JULIO CMS - MALBA T.,1148804000103,,,,
015296,"EMEF JOAO FRANZOLIN NETO, PROF.",108900,PENHA,PE,EMEF PROF. JOÃO FRANZOLIN NETO,1237925000113,,,,
015423,EMEF PRESTES MAIA,109100,SANTO AMARO,SA,EMEF PRESTES MAIA,1107992000113,,,,
015431,EMEF ERNANI SILVA BRUNO,109000,PIRITUBA,PJ,EMEF ERNANI SILVA BRUNO,789136000122,,,,
015440,EMEF EUZEBIO ROCHA FILHO,109300,SAO MIGUEL,MP,EMEF EUZEBIO ROCHA FILHO,1200159000112,,,,
016497,EMEF FERNANDO GRACIOSO,109000,PIRITUBA,PJ,EMEF FERNANDO GRACIOSO,1172017000199,,,,
016501,"EMEF FLORESTAN FERNANDES, PROF.",108300,CAPELA DO SOCORRO,CS,EMEF FLORESTAN FERNANDES,1344893000155,,,,
016519,EMEFM RUBENS PAIVA,109200,SAO MATEUS,SM,EMEFM RUBENS PAIVA ,1378281000183,,,,
016527,"EMEF CLAUDIA BARTOLOMAZI, PROFA.",108500,GUAIANASES,G,EMEF CLAUDIA BARTOLOMAZI,1880573000110,,,,
016713,EMEF ANNA SILVEIRA PEDREIRA,108200,CAMPO LIMPO,CL,EMEF - ANNA SILVEIRA PEDREIRA,1283550000128,,,,
016721,"EMEI CELSO DE SOUSA OLIVEIRA, PROF.",108800,JACANA/TREMEMBE,JT,"EMEI CELSO DE SOUZA OLIVEIRA,PROFESSOR",1428004000138,,,,
016993,"EMEF VICENTE AMATO SOBRINHO, COM.",109300,SAO MIGUEL,MP,EMEF COM. VICENTE AMATO SOBRINHO,1693425000196,,,,
017272,EMEFM GUIOMAR CABRAL,109000,PIRITUBA,PJ,EMEFM GUIOMAR CABRAL,1915010000110,,,,
017281,EMEI CONJ. HABITACIONAL VALO VELHO,108200,CAMPO LIMPO,CL,EMEI - CONJ. HABITACIONAL VALO VELHO,1809975000128,,,,
017329,EMEI VICENTE MATHEUS,108700,ITAQUERA,IQ,EMEI VICENTE MATHEUS,2146222000142,,,,
017337,EMEI DO LAR SIRIO,108900,PENHA,PE,EMEI DO LAR SÍRIO,2146005000152,,,,
017442,"EMEFM ANTONIO SAMPAIO, VER.",108800,JACANA/TREMEMBE,JT,EMEFM VEREADOR ANTONIO SAMPAIO,2502535000196,,,,
017451,"EMEI RUTH GONCALVES CHAVES DE SIQUEIRA, PROFA.",108900,PENHA,PE,EMEI PROFª RUTH GONÇALVES CHAVES DE SIQUEIRA,2000171000146,,,,
017515,"EMEI MARIA LUIZA MORETTI GENTILE, PROFA.",108600,IPIRANGA,IP,EMEI PROFESSORA MARIA LUIZA MORETTI GENTILE,2215921000105,,,,
017523,"EMEF CLOTILDE ROSA HENRIQUES ELIAS, PROFA.",108700,ITAQUERA,IQ,EMEF PROF CLOTILDE R. H. ELIAS,1969892000104,,,,
017531,"EMEI VALENTINA ANTONINI DA SILVA, PROFA.",109300,SAO MIGUEL,MP,EMEI PROF VALENTINA ANTONINI DA SILVA,1945619000131,,,,
017655,"EMEI SEBASTIANA DE ARRUDA CRUZ OLIVEIRA, PROFA.",109300,SAO MIGUEL,MP,EMEI PROF SEBASTIANA DE ARRUDA CRUZ OLIVEIRA,3302498000135,,,,
017710,"EMEI HELENA LOPES SANTANA DA SILVA, PROFA.",108500,GUAIANASES,G,"EMEI HELENA LOPES SANTANA DA SILVA, PROFª",2091102000195,,,,
017728,EMEI JOSE JOAQUIM DA SILVA,108800,JACANA/TREMEMBE,JT,EMEI JOSE JOAQUIM DA SILVA,1968846000182,,,,
017736,EMEI ANTONIO FIGUEIREDO AMARAL,108600,IPIRANGA,IP,EMEI ANTONIO FIGUEIREDO AMARAL,2064769000107,,,,
017973,"EMEF MAILSON DELANE, PROF.",108500,GUAIANASES,G,"EMEF MAILSON DELANE, PROF.",1865014000130,,,,
017981,EMEF PERICLES EUGENIO DA SILVA RAMOS,108600,IPIRANGA,IP,EMEF PERICLES EUGENIO DA SILVA RAMOS,2093488000174,,,,
018201,"EMEI LUCILIA DE ANDRADE FERREIRA, PROFA.",108500,GUAIANASES,G,EMEI LUCILIA DE ANDRADE FERREIRA,2229478000113,,,,
018210,EMEFM DARCY RIBEIRO,109300,SAO MIGUEL,MP,EMEFM DARCY RIBEIRO,2020695000107,,,,
018228,"EMEI MARIA DE LOURDES COUTINHO TORRES, DA.",109200,SAO MATEUS,SM,EMEI DONA MARIA DE LOURDES COUTINHO TORRES ,2107508000119,,,,
018236,"EMEI MARIA APARECIDA VITA PIANTE, PROFA.",108100,BUTANTA,BT,EMEI PROFª MARIA APARECIDA VITA PIANTE,1898695000133,,,,
018244,"EMEI CAMILLO ASHCAR, PROF.",108100,BUTANTA,BT,EMEI PROF. CAMILLO ASHCÁR,2699867000102,,,,
018261,"EMEI ALICE FEITOSA, DA.",109000,PIRITUBA,PJ,EMEI DONA ALICE FEITOSA,2539901000181,,,,
018279,"EMEI CEZAR ROGERIO OLIVEIRA PERAMEZZA, PROF.",108900,PENHA,PE,EMEI PROFº CÉZAR ROGÉRIO OLIVEIRA PERAMEZZA,2785353000170,,,,
018287,EMEI ANTONIO MUNHOZ BONILHA,109000,PIRITUBA,PJ,EMEI ANTONIO MUNHOZ BONILHA,1895214000136,,,,
018295,"EMEI ALEX FREUA NETTO, VER.",108400,FREGUESIA/BRASILANDIA,FO,"EMEI ALEX FREUA NETTO, VER.",2611808000130,,,,
018309,"EMEI VERA ARNONI SCALQUETTI, PROFA.",108800,JACANA/TREMEMBE,JT,EMEI PROFESSORA VERA ARNONI SCALQUETTE,2281923000194,,,,
018350,EMEI ANTONIO CARLOS BRASILEIRO DE ALMEIDA JOBIM - TOM JOBIM,109200,SAO MATEUS,SM,EMEI ANTONIO CARLOS BRASILEIRO  DE ALMEIDA JOBIM - TOM JOBIM,1928494000131,,,,
018384,"EMEI MORENO, CTE.",108100,BUTANTA,BT,EMEI COMANDANTE MORENO,2581805000100,,,,
018503,"EMEI JOSEMARIA ESCRIVA, BEM-AVENTURADO",108600,IPIRANGA,IP,EMEI BEM AVENTURA JOSEMARIA ESCRIVÁ,3235373000130,,,,
018511,"EMEF CARLOS CORREA MASCARO, PROF.",109200,SAO MATEUS,SM,EMEF PROFESSOR CARLOS CORREA MASCARO ,2497391000127,,,,
018520,EMEI JOAO MENDONCA FALCAO,108900,PENHA,PE,EMEI JOÃO MENDONÇA FALCÃO,2681449000198,,,,
018538,"EMEI GESSY GEBARA, PROFA.",108500,GUAIANASES,G,EMEI GESSY GEBARA,2915438000125,,,,
018546,"EMEF DAMIAO, FREI",108300,CAPELA DO SOCORRO,CS,"EMEF DAMIÃO, FREI",2497979000180,,,,
018554,EMEI ANTONIO CALLADO,108400,FREGUESIA/BRASILANDIA,FO,EMEI ANTONIO CALLADO,2547200000194,,,,
018830,"EMEF PAULO FREIRE, PROF.",108200,CAMPO LIMPO,CL,"EMEF - PAULO FREIRE, PROF.",2498503000164,,,,
019011,"EMEF LINO DE MATTOS, SEN.",109300,SAO MIGUEL,MP,EMEF SEN LINO DE MATTOS,2839994000160,,,,
019020,"EMEF JAIRO DE ALMEIDA, PROF.",109000,PIRITUBA,PJ,"EMEF JAIRO DE ALMEIDA, PROFº",2890229000174,,,,
019038,EMEI CHACARA SONHO AZUL,108200,CAMPO LIMPO,CL,EMEI - CHACARA SONHO AZUL,2533659000139,,,,
019046,"EMEF CELIA REGINA LEKEVICIUS CONSOLIN, PROFA.",108800,JACANA/TREMEMBE,JT,EMEF CELIA REGINA LEKEVICIUS CONSOLIN,3152086000166,,,,
019054,"EMEI ADALBERTO PANZAN, DR.",109200,SAO MATEUS,SM,EMEI DR. ADALBERTO PANZAN ,3703470000100,,,,
019062,"EMEI THEREZA THE DE CARVALHO, PROFA.",108700,ITAQUERA,IQ,EMEI PROF THEREZATHE DE C.,3253973000120,,,,
019071,"EMEI MARIA CECILIA DEZAN ROCHA, PROFA.",109200,SAO MATEUS,SM,EMEI PROF MARIA CECILIA DEZAN ROCHA ,2853876000106,,,,
019089,EMEI JOAO RUBENS MARCELO,108700,ITAQUERA,IQ,EMEI JOÃO RUBENS MARCELO,3233500000161,,,,
019097,EMEI ARTHUR BAPTISTA DA LUZ,109100,SANTO AMARO,SA,EMEI ARTHUR BAPTISTA DA LUZ,2689814000100,,,,
019101,"EMEI DINAH FERNANDES COSTA , PROFA.",108900,PENHA,PE,EMEI PROFª DINAH FERNANDES COSTA,3305705000105,,,,
019119,"EMEI NEUSA CONCEICAO STINCHI, PROFA.",108900,PENHA,PE,EMEI PROFª NEUSA CONCEIÇÃO STINCHI,3333161000195,,,,
019127,"EMEI CLEIDE MOREIRA DOS SANTOS, PROFA.",108800,JACANA/TREMEMBE,JT,EMEI PROFA CLEIDE MOREIRA DOS SANTOS,2720730000192,,,,
019135,"EMEI DALMO AMARAL MACHADO, PROF.",109300,SAO MIGUEL,MP,EMEI PROF DALMO AMARAL MACHADO,2823087000122,,,,
019143,EMEF JOSE QUERINO RIBEIRO,108700,ITAQUERA,IQ,EMEF PROF JOSE Q. RIBEIRO,3132601000146,,,,
019151,EMEI JOAO CANDIDO,108300,CAPELA DO SOCORRO,CS,EMEI JOÃO CANDIDO,2833006000175,,,,
019160,"EMEF ILEUSA CAETANO DA SILVA, PROFA.",108100,BUTANTA,BT,EMEF PROFª ILEUSA CAETANO DA SILVA,2854078000107,,,,
019178,EMEI MARGARETH DE FATIMA MARQUES DE AZEVEDO,108800,JACANA/TREMEMBE,JT,EMEI MARGARETH DE FATIMA MARQUES DE AZEVEDO,3237921000160,,,,
019186,"EMEI SILVIO CALDAS, COMPOSITOR",108600,IPIRANGA,IP,EMEI COMPOSITOR SILVIO CALDAS,3215349000139,,,,
019194,EMEF PEDRO GERALDO SCHUNCK,108300,CAPELA DO SOCORRO,CS,EMEF PEDRO GERALDO SCHUNCK,3323261000130,,,,
019195,"EMEF JOSE KAUFFMANN , DR.",109000,PIRITUBA,PJ,"EMEF JOSÉ KAUFFMANN, DR.",5022478000136,,,,
019196,"EMEF LILIANE VERZINI SILVA, PROFA",109100,SANTO AMARO,SA,"EMEF LILIANE VERZINI SILVA, PROFA.",4488723000132,,,,
019197,EMEI ANGELO KRETA,108300,CAPELA DO SOCORRO,CS,EMEI ANGELO KRETÃ,5670563000100,,,,
019198,"CEU EMEI MILTON SANTOS, PROF.",108300,CAPELA DO SOCORRO,CS,"EMEI MILTON SANTOS, PROF. - CEU CIDADE DUTRA",5336674000185,,,,
019199,EMEI CLEMENCIA FERREIRA DA SILVA,109300,SAO MIGUEL,MP,EMEI CLEMENCIA FERREIRA DA SILVA,8250266000102,,,,
019200,"EMEI JOANA MITSUE ISHII, PROFA",108200,CAMPO LIMPO,CL,"EMEI - JOANA MITSUE ISHII, PROFA",7334135000132,,,,
019201,"EMEI MARIA DA LUZ SILVA DE OLIVEIRA, PROFA.",109300,SAO MIGUEL,MP,EMEI PROF. MARIA DA LUZ SILVA DE OLIVEIRA,5979916000159,,,,
019202,EMEI JULIO ALVES PEREIRA,109000,PIRITUBA,PJ,EMEI JULIO ALVES PEREIRA,5058252000195,,,,
019203,EMEI JARDIM FELICIDADE,109000,PIRITUBA,PJ,EMEI JARDIM FELICIDADE,5101775000177,,,,
019204,EMEI MARIA CLARA MACHADO,108200,CAMPO LIMPO,CL,EMEI - MARIA CLARA MACHADO,5460005000110,,,,
019205,EMEI JARDIM MONTE BELO,109000,PIRITUBA,PJ,EMEI JARDIM MONTE BELO,5112221000175,,,,
019206,EMEI FRANCISCO ADAUTO RODRIGUES,109200,SAO MATEUS,SM,EMEI FRANCISCO ADAUTO RODRIGUES ,7045178000106,,,,
